0,A
1.199,A
2.199,A
3.148,A
3.566,A
3.915,A
4.699,A
5.431,A
6.449,A
6.832,A
7.248,A
8.098,A
8.948,A
10.132,A
10.55,A
11.398,A
12.215,A
13.065,A
13.482,A
13.865,A
14.631,A
15.398,A
16.281,A
16.666,A
17.098,A
17.882,A
18.531,A
19.515,A
19.915,A
20.347,A
21.131,A
21.797,A
22.748,A
23.182,A
23.598,A
24.381,A
24.968,A
25.964,A
26.398,A
26.799,A
27.615,S
28.215,S
29.281,S
29.665,S
30.065,S
30.882,S
31.498,S
32.516,S
32.915,S
33.332,S
34.115,D
34.732,D
35.765,D
36.148,D
36.565,D
37.365,D
37.997,D
38.998,D
39.398,D
39.781,S
40.614,S
41.198,S
42.231,S
42.665,S
43.031,S
43.832,S
44.448,S
45.465,S
45.865,S
46.248,S
47.064,A
47.697,A
48.681,A
49.164,A
49.531,A
50.299,A
50.947,A
51.914,A
52.315,A
52.715,A
53.582,S
54.014,S
54.447,S
55.197,D
55.564,D
55.997,D
56.781,S
57.181,S
57.58,S
58.381,A
58.747,A
59.113,A
59.948,S
60.314,S
60.731,S
61.43,D
61.88,D
62.298,D
63.082,S
63.531,S
63.948,S
64.731,A
65.147,A
65.548,A
66.381,S
66.781,S
67.181,S
68.014,D
68.398,D
68.798,D
69.547,S
70.031,S
70.414,S
71.13,A
71.598,A
71.981,A
72.816,S
73.231,S
73.614,S
74.431,D
74.88,D
75.313,D
76.081,S
76.516,S
76.915,S
77.665,A
78.114,A
78.514,A
79.347,S
79.764,S
80.163,S
80.913,D
81.364,D
81.78,D
82.531,S
82.98,S
83.381,S
84.13,A
84.596,A
84.996,A
